reviewID,saleID,sellerID,buyerID,comment,txnID,stars
0,0321719816,AGWFBOF3Y2FRX,A38NELQT98S4H8,I've been using Dreamweaver (and it's predecessor Macromedia's UltraDev) for many years.  For someon,0,4
1,0321719816,AGWFBOF3Y2FRX,A3QJU4FEN8PQSZ,"The demo is done with the PC version, with references to the Mac version when needed. The video is c",1,4
2,0321719816,AGWFBOF3Y2FRX,ACJT8MUC0LRF0,"If you've been wanting to learn how to create your own website, but have either lacked the confidenc",2,5
3,0321719816,AGWFBOF3Y2FRX,AYUF7YETYOLNX,"I've been creating websites with Dreamweaver for years now, and all that experience has taught me on",3,5
4,0321719816,AGWFBOF3Y2FRX,A31ICLWQ9CSHRS,I decided (after trying a number of other products) to switch to the gold standard of web site manag,4,5
5,0321719816,AGWFBOF3Y2FRX,A2BVNVJOFXGZUB,The video is well-paced and delivered in an understandable manner.  It allows you to work with the s,5,5
6,0321719816,AGWFBOF3Y2FRX,A2JMJVNTBL7K7E,"I spent several hours on the lesson and I love it.
It is very detailed and very clear.
The instructi",6,5
7,0321719816,AGWFBOF3Y2FRX,A14JBDSWKPKTZA,I have had Dreamweaver MX2004 since it came out back then. Spent years with it. Feel like I know it ,7,5
8,0321719816,AGWFBOF3Y2FRX,A2WCFDOCS73PNB,I have also taken a local community college on-line course on DreamWeaver CS5 training. This video i,8,5
9,0321719816,AGWFBOF3Y2FRX,A14638TGYH7GD9,"Even though I use Dreamweaver a great deal and own several books on the subject, I found this set ve",9,5
10,0321719816,AGWFBOF3Y2FRX,A2VWE5SGNDS8HW,"I waited to complete the entire course before writing this review and, in no particular order, these",10,3
11,0321700945,ANEDXRFDZDL18,A13700AF4X40YG,"As someone who has just upgraded from Lightroom version 2 to the new version 3, I got this to bring ",11,5
12,0321700945,ANEDXRFDZDL18,A23E9QQHJLNGUI,"Adobe approved ""Adobe Photoshop Lightroom 3, Learn by Video"" is the absolutely best method of learni",12,5
13,0321700945,ANEDXRFDZDL18,A1GQRGB8FGSLIZ,"This is a greate collection of videos on the disk.  Most of the videos are between 2 and 6 minutes, ",13,5
14,0321700945,ANEDXRFDZDL18,A1E50L7PCVXLN4,There are over 100 video lessons here. Most users have given this a high rating and I assume they ar,14,3
15,0321700945,ANEDXRFDZDL18,A10Y058K7B96C6,"I am not an avid Lightroom user, although I have used it many times.  I have always wanted to dive i",15,5
16,0321700945,ANEDXRFDZDL18,A3V7D0LH8L7BG0,"I am a long time user of Photoshop Lightroom, from the first version. I used to use Photoshop to man",16,5
17,0321719824,A30LRB20LJ19OY,AGVWTYW0ULXHT,"The ""Learn by Video"" program for Flash CS5 would make a nice alternative to an introductory book - e",17,4
18,0321719824,A30LRB20LJ19OY,A3QJU4FEN8PQSZ,The presenter here sounds much more natural than the semi-robotic delivery found in the DreamWeaver ,18,4
19,0321719824,A30LRB20LJ19OY,A31N0XY2UTB25C,This certified associate courseware comes as a package containing a DVD-ROM plus supplemental writte,19,4
20,0321719824,A30LRB20LJ19OY,A2BLFCOPSMBOZ9,"This was the first Learn by Video series course that I've used, and I'm very impressed with the prod",20,4
21,0763855553,A1JJM6COMQOO4Y,A24X9HGDWV2ZZH,"Excel:
Does not allow you to copy and paste sometimes. I later found out it's related to having many",21,1
22,0763855553,A1JJM6COMQOO4Y,AHEZP9ACDYJII,Microsoft Office is still the standard all the rest are compared to.  Office 365 is a great value wh,22,5
23,0763855553,A1JJM6COMQOO4Y,A2WUYJJ7NPQ5H4,"Been using Office for over twenty years.  Still not worth the money.  Buggy, and easily corrupted. O",23,1
24,0763855553,A1JJM6COMQOO4Y,AXGLPF6X39874,Always liked Office Products.  Expensive for a retiree but worth it for everything I do.,24,5
25,0763855553,A1JJM6COMQOO4Y,AJK49DENMS2BT,I have been using MS Office professional for decades. This latest version simply provides the top ve,25,5
26,0763855553,A1JJM6COMQOO4Y,A3UI63EESKUYHU,This is really a great buy.  It breaks down to a full MS Office software suite for 5 computers plus ,26,5
27,0763855553,A1JJM6COMQOO4Y,AK8GQ08WTHW4G,The software is well known and excellent.  It provides at least ten times the capabilities I need.  ,27,5
28,0763855553,A1JJM6COMQOO4Y,A1MRPX3RM48T2I,The bottom line:  I like this deal much better than trying to buy an Office 365 license outright fro,28,4
29,0763855553,A1JJM6COMQOO4Y,A318IDAWJ9ZYAY,I have this running on my Macbook Air and two HP laptops. Set up took less than 3 minutes. It is a o,29,5
30,0763855553,A1JJM6COMQOO4Y,ANGGNFE8DXGYC,"not that easy to understand or install, documentation should be better.",30,4
31,0763855553,A1JJM6COMQOO4Y,A2N4QZL8L2NVKX,"Works well! Use for Outlook and Word, Excel!",31,5
32,0763855553,A1JJM6COMQOO4Y,A1EMDSTJDUE6B0,We got this for 2 Macs and 2 Windows machines. It works OK on both platforms. I use it mostly on a M,32,3
33,0763855553,A1JJM6COMQOO4Y,A6M01NDCD957E,What can you say great product.,33,5
34,0763855553,A1JJM6COMQOO4Y,A3PAUB3M715CJC,Has been very helpful.,34,5
35,0763855553,A1JJM6COMQOO4Y,AEC7B85GKPM0W,Complete rubbish! I got this with an Acer aspire laptop and installed it. There is no shortcut and d,35,1
36,0763855553,A1JJM6COMQOO4Y,A22S7D0LP8GRDH,"As soon as the iPad Office 365 apps got released and I saw them in action, I knew I wanted to upgrad",36,5
37,0763855553,A1JJM6COMQOO4Y,A3A770EP3KUHKM,"I Bought This So I Could Get Full Use Of The Office iPad Apps. However I Also Did 2 Mac Installs, & ",37,5
38,0763855553,A1JJM6COMQOO4Y,A3VV6SV0Z2HNTA,The only real question is - does this card work? It's the lowest priced way to buy Office 365 so tha,38,5
39,0763855553,A1JJM6COMQOO4Y,A2MKY8OUI8GZG1,"When I try to install I receive error code 30088-04. Can't even find the error code.
Tried several t",39,1
40,0763855553,A1JJM6COMQOO4Y,A3VONQL7YW8UPM,Office 365 is less than $100 per year for 5 users.  We purchased this and our kids use it on their M,40,5
41,0763855553,A1JJM6COMQOO4Y,A3N7T0DY83Y4IG,I really thought this was one of those programs I could get a lot of use out of. However I have used,41,4
42,0763855553,A1JJM6COMQOO4Y,AA90W95STFGAC,"I guess it all depends on your needs. The software is great, but this is essentially a rental progra",42,4
43,0763855553,A1JJM6COMQOO4Y,AHNHLGKIZ2N3B,"The current trend for software companies is to provide ""software as a service"" (SaaS) where the user",43,3
44,0763855553,A1JJM6COMQOO4Y,A16QODENBJVUI1,Innovation is a good thing when the point of innovation is to improve one's products and to enhance ,44,5
45,0763855553,A1JJM6COMQOO4Y,A376OJHLE6SU9Q,First let me say the updates that have occured in Office over the past few updates have been GREAT! ,45,4
46,0763855553,A1JJM6COMQOO4Y,A1E5WXNTI7EO2A,I have to admit that one of my paranoid fears is that my computer will crash and that I'll lose all ,46,4
47,0763855553,A1JJM6COMQOO4Y,AEJAGHLC675A7,"For most of us, Microsoft Office is the de-facto standard of office suites, with Word being the pred",47,4
48,0763855553,A1JJM6COMQOO4Y,A17A1KTVI3DG6U,"We have several computers in my house, and I was looking for an economical option. Considering the f",48,5
49,0763855553,A1JJM6COMQOO4Y,AZZ5ASC403N74,Microsoft Office is pretty much the standard software used by most businesses and individuals.  This,49,5
50,0763855553,A1JJM6COMQOO4Y,A4U27URFECK1U,I'm not sure why so many people are having problems downloading and installing Microsoft Office 365.,50,3
51,0763855553,A1JJM6COMQOO4Y,A2CZ98V784SRJ0,"It's really hard to get any quantity of work down without Microsoft Office.  And this product, aside",51,4
52,0763855553,A1JJM6COMQOO4Y,A2GP6XJ1V3MM3L,"I was looking forward to what Office 365 had over my now ""old"" Word 2010, but after several weeks of",52,3
53,0763855553,A1JJM6COMQOO4Y,AGOH8N902URMW,This is the standard for office suites as far as I an many others are concerned. This is a version t,53,5
54,0763855553,A1JJM6COMQOO4Y,A3OIMUR42XIOFQ,"I'm the proud owner / renter / reviewer of this product.

Only Microsoft knows for sure. They seem t",54,4
55,0763855553,A1JJM6COMQOO4Y,A379DLIAF0MFM5,"(Note to Mac users: OneNote, Access and Publisher not available.)

I have two computers for work, on",55,5
56,0763855553,A1JJM6COMQOO4Y,A1GQRGB8FGSLIZ,The software rental business is growing but at least Microsoft still has standalone version unlike A,56,3
57,0982697813,A6U423ORF4SZL,ACJT8MUC0LRF0,"Even though glo was the winner of the 2010 ECPA Bible of the Year award, the software was a bit bugg",57,5
