txnID,buyerID,sellerID,saleID,txnStatus,txnquantity,txndate
0,A38NELQT98S4H8,AGWFBOF3Y2FRX,0321719816,OK,9,"2010-10-20,"
1,A3QJU4FEN8PQSZ,AGWFBOF3Y2FRX,0321719816,OK,2,"2010-10-18,"
2,ACJT8MUC0LRF0,AGWFBOF3Y2FRX,0321719816,OK,4,"2010-10-16,"
3,AYUF7YETYOLNX,AGWFBOF3Y2FRX,0321719816,OK,4,"2010-10-12,"
4,A31ICLWQ9CSHRS,AGWFBOF3Y2FRX,0321719816,OK,2,"2010-10-7,"
5,A2BVNVJOFXGZUB,AGWFBOF3Y2FRX,0321719816,OK,7,"2010-09-26,"
6,A2JMJVNTBL7K7E,AGWFBOF3Y2FRX,0321719816,OK,8,"2011-04-7,"
7,A14JBDSWKPKTZA,AGWFBOF3Y2FRX,0321719816,OK,9,"2011-01-8,"
8,A2WCFDOCS73PNB,AGWFBOF3Y2FRX,0321719816,OK,2,"2010-10-28,"
9,A14638TGYH7GD9,AGWFBOF3Y2FRX,0321719816,OK,10,"2010-10-28,"
10,A2VWE5SGNDS8HW,AGWFBOF3Y2FRX,0321719816,OK,2,"2010-10-21,"
11,A13700AF4X40YG,ANEDXRFDZDL18,0321700945,OK,10,"2010-10-13,"
12,A23E9QQHJLNGUI,ANEDXRFDZDL18,0321700945,OK,10,"2010-10-7,"
13,A1GQRGB8FGSLIZ,ANEDXRFDZDL18,0321700945,OK,2,"2011-05-15,"
14,A1E50L7PCVXLN4,ANEDXRFDZDL18,0321700945,OK,6,"2011-01-9,"
15,A10Y058K7B96C6,ANEDXRFDZDL18,0321700945,OK,5,"2010-12-6,"
16,A3V7D0LH8L7BG0,ANEDXRFDZDL18,0321700945,OK,7,"2010-11-15,"
17,AGVWTYW0ULXHT,A30LRB20LJ19OY,0321719824,OK,9,"2010-11-27,"
18,A3QJU4FEN8PQSZ,A30LRB20LJ19OY,0321719824,OK,3,"2010-10-21,"
19,A31N0XY2UTB25C,A30LRB20LJ19OY,0321719824,OK,5,"2010-10-10,"
20,A2BLFCOPSMBOZ9,A30LRB20LJ19OY,0321719824,OK,5,"2011-01-29,"
21,A24X9HGDWV2ZZH,A1JJM6COMQOO4Y,0763855553,OK,6,"2017-12-6,"
22,AHEZP9ACDYJII,A1JJM6COMQOO4Y,0763855553,OK,1,"2017-06-23,"
23,A2WUYJJ7NPQ5H4,A1JJM6COMQOO4Y,0763855553,OK,9,"2017-03-31,"
24,AXGLPF6X39874,A1JJM6COMQOO4Y,0763855553,OK,3,"2016-05-30,"
25,AJK49DENMS2BT,A1JJM6COMQOO4Y,0763855553,OK,9,"2016-04-28,"
26,A3UI63EESKUYHU,A1JJM6COMQOO4Y,0763855553,OK,5,"2016-04-10,"
27,AK8GQ08WTHW4G,A1JJM6COMQOO4Y,0763855553,OK,2,"2015-12-14,"
28,A1MRPX3RM48T2I,A1JJM6COMQOO4Y,0763855553,OK,10,"2015-10-29,"
29,A318IDAWJ9ZYAY,A1JJM6COMQOO4Y,0763855553,OK,10,"2015-10-28,"
30,ANGGNFE8DXGYC,A1JJM6COMQOO4Y,0763855553,OK,4,"2015-08-30,"
31,A2N4QZL8L2NVKX,A1JJM6COMQOO4Y,0763855553,OK,10,"2015-06-3,"
32,A1EMDSTJDUE6B0,A1JJM6COMQOO4Y,0763855553,OK,5,"2015-05-3,"
33,A6M01NDCD957E,A1JJM6COMQOO4Y,0763855553,OK,3,"2015-04-22,"
34,A3PAUB3M715CJC,A1JJM6COMQOO4Y,0763855553,OK,5,"2015-03-24,"
35,AEC7B85GKPM0W,A1JJM6COMQOO4Y,0763855553,OK,6,"2014-12-2,"
36,A22S7D0LP8GRDH,A1JJM6COMQOO4Y,0763855553,OK,3,"2014-04-17,"
37,A3A770EP3KUHKM,A1JJM6COMQOO4Y,0763855553,OK,1,"2014-04-3,"
38,A3VV6SV0Z2HNTA,A1JJM6COMQOO4Y,0763855553,OK,10,"2014-04-1,"
39,A2MKY8OUI8GZG1,A1JJM6COMQOO4Y,0763855553,OK,9,"2014-03-17,"
40,A3VONQL7YW8UPM,A1JJM6COMQOO4Y,0763855553,OK,8,"2014-03-3,"
41,A3N7T0DY83Y4IG,A1JJM6COMQOO4Y,0763855553,OK,2,"2013-12-31,"
42,AA90W95STFGAC,A1JJM6COMQOO4Y,0763855553,OK,5,"2013-10-17,"
43,AHNHLGKIZ2N3B,A1JJM6COMQOO4Y,0763855553,OK,6,"2013-10-17,"
44,A16QODENBJVUI1,A1JJM6COMQOO4Y,0763855553,OK,2,"2013-10-16,"
45,A376OJHLE6SU9Q,A1JJM6COMQOO4Y,0763855553,OK,3,"2013-10-13,"
46,A1E5WXNTI7EO2A,A1JJM6COMQOO4Y,0763855553,OK,4,"2013-10-8,"
47,AEJAGHLC675A7,A1JJM6COMQOO4Y,0763855553,OK,7,"2013-09-30,"
48,A17A1KTVI3DG6U,A1JJM6COMQOO4Y,0763855553,OK,2,"2013-09-29,"
49,AZZ5ASC403N74,A1JJM6COMQOO4Y,0763855553,OK,10,"2013-09-29,"
50,A4U27URFECK1U,A1JJM6COMQOO4Y,0763855553,OK,10,"2013-09-27,"
51,A2CZ98V784SRJ0,A1JJM6COMQOO4Y,0763855553,OK,2,"2013-09-26,"
52,A2GP6XJ1V3MM3L,A1JJM6COMQOO4Y,0763855553,OK,3,"2013-09-26,"
53,AGOH8N902URMW,A1JJM6COMQOO4Y,0763855553,OK,3,"2013-09-25,"
54,A3OIMUR42XIOFQ,A1JJM6COMQOO4Y,0763855553,OK,6,"2013-09-21,"
55,A379DLIAF0MFM5,A1JJM6COMQOO4Y,0763855553,OK,8,"2013-09-20,"
56,A1GQRGB8FGSLIZ,A1JJM6COMQOO4Y,0763855553,OK,9,"2013-09-18,"
57,ACJT8MUC0LRF0,A6U423ORF4SZL,0982697813,OK,3,"2011-06-1,"
58,A17BUUBOU0598B,A6U423ORF4SZL,0982697813,OK,10,"2011-05-31,"
59,A3963R7EPE3A7E,A6U423ORF4SZL,0982697813,OK,2,"2012-01-19,"
60,AZYJE40XW6MFG,A6U423ORF4SZL,0982697813,OK,7,"2011-09-28,"
61,A3TPNC3TKGCCEI,A6U423ORF4SZL,0982697813,OK,8,"2011-08-25,"
62,A3G007LQX6KGOD,A6U423ORF4SZL,0982697813,OK,4,"2011-07-20,"
63,A3BNMHRW2R35LK,A6U423ORF4SZL,0982697813,OK,10,"2011-07-14,"
64,A1PI8VBCXXSGC7,A6U423ORF4SZL,0982697813,OK,2,"2011-07-9,"
65,A1D7VWS3DWS7X8,A6U423ORF4SZL,0982697813,OK,5,"2011-06-29,"
66,ATZJNEXX7LWD3,A2QK6CWANYGXTB,1413313701,OK,7,"2010-11-15,"
67,A2P6QCZWW3H1X6,A2QK6CWANYGXTB,1413313701,OK,5,"2013-09-11,"
68,A2AMTEB5UZEOXE,A2QK6CWANYGXTB,1413313701,OK,4,"2012-11-18,"
69,A3PJZ8TU8FDQ1K,A2QK6CWANYGXTB,1413313701,OK,2,"2012-05-24,"
70,A2ZJMLZ1IA2YA9,A2QK6CWANYGXTB,1413313701,OK,6,"2012-04-18,"
71,A14JBDSWKPKTZA,A2QK6CWANYGXTB,1413313701,OK,1,"2012-01-28,"
72,A2L6QS8SVHT9RG,A2QK6CWANYGXTB,1413313701,OK,9,"2011-10-7,"
73,A3R1WFO4KIUQXZ,A2QK6CWANYGXTB,1413313701,OK,9,"2011-07-31,"
74,A5JLAU2ARJ0BO,A2QK6CWANYGXTB,1413313701,OK,1,"2011-07-9,"
75,ACVDL5QRCOPE1,A2QK6CWANYGXTB,1413313701,OK,4,"2011-06-15,"
76,A3H7ADUP07D93H,A2QK6CWANYGXTB,1413313701,OK,1,"2011-05-26,"
77,A3BNMHRW2R35LK,A2QK6CWANYGXTB,1413313701,OK,8,"2011-01-20,"
78,A3FFKU2MTCOBM1,A2QK6CWANYGXTB,1413313701,OK,3,"2010-12-28,"
79,A1TR1R2QKWRSRA,A2QK6CWANYGXTB,1413313701,OK,1,"2010-12-15,"
80,A226VGZWOEBPGL,A2QK6CWANYGXTB,1413313701,OK,2,"2010-12-15,"
81,A11SWG9T60IQH8,A2QK6CWANYGXTB,1413313701,OK,2,"2010-11-23,"
82,A1T2ZO4ARVSUGE,A19RW25Q6206I3,1413313728,OK,7,"2011-01-8,"
83,A16RI68PS6T5CA,A19RW25Q6206I3,1413313728,OK,4,"2010-12-26,"
84,A1GWG5CWLKJ7ET,A19RW25Q6206I3,1413313728,OK,3,"2010-12-23,"
85,A1HOLE9R6WPT85,A19RW25Q6206I3,1413313728,OK,9,"2012-01-26,"
86,ALQ4USPEQ9L5N,A19RW25Q6206I3,1413313728,OK,1,"2011-11-17,"
87,A1GQRGB8FGSLIZ,A19RW25Q6206I3,1413313728,OK,4,"2011-10-8,"
88,ACVDL5QRCOPE1,A19RW25Q6206I3,1413313728,OK,7,"2011-09-24,"
89,A11EYMH9UV9XG7,A19RW25Q6206I3,1413313728,OK,5,"2011-07-21,"
90,A26LQSC65AMTGK,A19RW25Q6206I3,1413313728,OK,1,"2011-06-16,"
91,A2SZLNSI5KOQJT,A19RW25Q6206I3,1413313728,OK,9,"2011-03-13,"
92,A3LDLV1GWQJLEQ,A19RW25Q6206I3,1413313728,OK,4,"2011-02-17,"
93,A1D7VWS3DWS7X8,A19RW25Q6206I3,1413313728,OK,4,"2011-01-20,"
94,A3LGT6UZL99IW1,A19RW25Q6206I3,1413313728,OK,6,"2011-01-13,"
95,A3CAG7WLTAKPI,A2QNPH5TJ4QKN7,1426296355,OK,2,"2012-07-11,"
96,A1MRPX3RM48T2I,A2QNPH5TJ4QKN7,1426296355,OK,8,"2010-06-7,"
97,A32B6XWNR55SRL,A2QNPH5TJ4QKN7,1426296355,OK,5,"2010-01-18,"
98,A38KK0SZYEH5UD,A2QNPH5TJ4QKN7,1426296355,OK,10,"2009-12-19,"
99,A22RY8N8CNDF3A,A2QNPH5TJ4QKN7,1426296355,OK,2,"2009-12-11,"
100,ARADXCOUVBS09,A2QNPH5TJ4QKN7,1426296355,OK,2,"2009-12-4,"
101,A11REZES0TNBSD,A2QNPH5TJ4QKN7,1426296355,OK,3,"2009-12-2,"
102,A3F3B6HY9RJI04,A14HDK1OLFYMVM,1600775411,OK,7,"2012-09-24,"
103,AHQRU3MRORIWQ,A14HDK1OLFYMVM,1600775411,OK,6,"2012-03-20,"
104,A1SCANWWQTEG9I,A14HDK1OLFYMVM,1600775411,OK,7,"2012-02-17,"
105,A1WBEIH7Z37LN9,A14HDK1OLFYMVM,1600775411,OK,4,"2011-08-17,"
106,A2F2S1L61X1LA9,A14HDK1OLFYMVM,1600775411,OK,2,"2011-04-11,"
107,A21OGQWFAKGC41,A14HDK1OLFYMVM,1600775411,OK,7,"2011-03-3,"
108,A1A21GIPMY89BZ,A14HDK1OLFYMVM,1600775411,OK,9,"2011-02-4,"
109,A141W8WHW9AC3H,A14HDK1OLFYMVM,1600775411,OK,9,"2010-07-12,"
110,A3RF46CL8GDIN8,A14HDK1OLFYMVM,1600775411,OK,1,"2010-05-31,"
111,A8WAYVOKYBLO6,A14HDK1OLFYMVM,1600775411,OK,3,"2010-05-20,"
112,A2YKWYC3WQJX5J,A14HDK1OLFYMVM,1600775411,OK,10,"2010-04-1,"
113,A301B6L3TCD7WL,A14HDK1OLFYMVM,1600775411,OK,4,"2010-02-17,"
114,A2WN1QF8GSVHYV,A14HDK1OLFYMVM,1600775411,OK,5,"2010-02-14,"
115,A3D5B2CBFNJB0K,A14HDK1OLFYMVM,1600775411,OK,10,"2010-02-12,"
116,A3OXHLG6DIBRW8,A14HDK1OLFYMVM,1600775411,OK,2,"2010-02-6,"
117,A1ZZR25X0CNOJX,A14HDK1OLFYMVM,1600775411,OK,5,"2010-01-31,"
118,AYVM2DODURDLE,A14HDK1OLFYMVM,1600775411,OK,9,"2010-01-29,"
119,A3S3R88HA0HZG3,A14HDK1OLFYMVM,1600775411,OK,10,"2009-11-24,"
120,A2JCJJNY43QQIV,A14HDK1OLFYMVM,1600775411,OK,3,"2009-11-19,"
121,A3FGJDBSMCSG7G,A2DXENZNO2JT4F,1615354336,OK,6,"2010-09-20,"
